Komentar,Sentimen
Sunny: This show is great!! One of the funniest shows in years. The extras on this DVD are pretty good too.,Positif
CO alarm: Easy product to install. No fuss. Plug it in. It is out of sight behind a couch. I am satisfied.j.,Positif
"Gr8 Product: My kid is enjoying , Daiper takes lot more time than other ones and still will be fresh and dry",Positif
Keeps 4yo son busy: It was easy enough for my son to figure out and keep him occupied during long car rides.,Positif
"yeah: french rap at its best! i love it, great beats, excellent lyrics, dope features, every euro worth ;-))",Positif
"the gift: my favorite Christmas music, hard to find. was glad to be able to find it at amazon at this price.",Positif
"Keeping Faith: I love this book, well written and kept me reading till the very end. Totally recommend it!!!",Positif
"Pretty good: Pretty good book to learn from. Well laid out. Some areas could be clearer, but will use often!",Positif
Great Read!!!!!!!!: I laughed and grinned all the way through. These two will stay with me for a long while.,Positif
Awesome: This is one of the funniest stand up comedians I have ever seen. Almost as good as Robin Williams!!,Positif
"Go see the show!: Just go see the show...it's really great, and you'll want the soundtrack after you see it.",Positif
guy clark review: Great CD. Fast service with a great price. I'll get to see Guy Clark live on October 16th.,Positif
I recommend it: Kids loved it . . . when they're happy - I'm happy!8 more words?!!!! What more can I say?!!!,Positif
Incredible book: My son read this in his class and he loved it. It is a tough story but well worth the read.,Positif
Dead end: Good to the last drop.you know who it is but how do you tell them how do they stop him but they do,Positif
Proud of you: I have known Crystal for a while now and she is just as great a person as her wonderful voice.,Positif
"COOL: Awsome cd...almost evry song is worth listening to...prison song,pogo,and chop suey are all realy good.",Positif
Wow: Once I started this book I could not put it down. There was no mercy on this family. What a page turner!,Positif
"LOVE THIS CD!: THIS CD IS BEAUTIFUL AND THOUGHT PROVOKING IN A GENTLE MANNER,DEFINATELY WORTH THE INVESTMENT.",Positif
Agatha Christie fan: I am a Agatha Christie fan and I am starting to replace books lost years ago in a flood.,Positif
Very good buy!: I was very satisfied with this book. My son loved the smells and I enjoyed reading it to him.,Positif
Good: This book was an exciting twist I think that it was an excellent sequel and I can't wait for the third!,Positif
in cold blood: Very well written. Interesting. Kind of depressing but knew it would be due to subject matter.,Positif
"Mingus: Just buy it, you will be glad you did. Classics Charles Mingus a must have for anyone that likes jazz",Positif
"Winner at Aspen: This coming of age comedy is unusual, attractive to watch, and has more substance than most.",Positif
exxxxxxxxxxxxxxxxccccellent!!: I just loved this book....it gave me a good time and it is just hilarious.....,Positif
JEG: The product arrived as expected. The ear gels fit the JawBone well and were perfect for ill perfect ears.,Positif
"very informative: Laugh and Learn About Childbirthexcellent information, and humorous all at the same time !!!",Positif
Magnifique: Eurasia's most inspired duo.Flashbacks envelope a bullet to the future.Not for the faint of heart.,Positif
hilarious: This movie is hilarious!!!!!!!! I saw it with my friend and we laughed throughout the entire thing.,Positif
Singing voice that mind gets warm: It is a famous piece of music collection which keeps being eternally heard.,Positif
"If you love Cajun or if you love rock 'n' roll: you'll love this great CD. The Bluerunners, yeah! Get 'em all!",Positif
Classic: This story -- as with most Dr. Seuss books -- is great. Kids and adults can enjoy The Cat in the Hat!,Positif
The Best: This book is set up great. Small quips about various aspects of poker. This book is great for limit.,Positif
Pretty good: This book was pretty good. I felt in some parts it dragged on to long. Over all a excellent book.,Positif
Awesome Lotion!: This stuff is amazing. Not greasy at all. Love the smell and the texture. HIGHLY recommended!,Positif
Jackie Chan the master: Great action and comedy mixed together in this classic Jackie Chan movie!5 star rating,Positif
Indtin: I love these very good for what I needed I didn't research the price but I thought it was a good deal.,Positif
Awesome!: This game is really fun and it works well on my super old PS2. Fast delivery made it more enjoyable.,Positif
It arriived: Ordered it. It arrived quickly. It is used and is as described . I'll update whenever I read it. d,Positif
"lite up: The bulb seems ok, the batteries have power, but the laser light does not work.The bulb came in 4days.",Positif
personal top #10: If you haven't had the chance to see it then trust me and please buy it! Laughs are assured!!,Positif
"good: I am very satisfied with the product, it came in a good time and the customer service provided was great.",Positif
Portable Thoreau: I got this book within a timely manner and am very satisfied with the product and the seller.,Positif
Good: Quick and e as y read. Pictures are to large had to continually turn book to see them. Good digital copy.,Positif
way to go Elliot!: Great cd. I listen to it all the time! Can't wait for his next one. I'm proud of you Elliot!,Positif
o.k. terrific: it's absolutely happening here. the gangmembers will probably be the evildoers' new police force,Positif
Loved it: Love me some Mariah Carey. This was actually a repurchase of a CD we wore out...had to get a new one.,Positif
hannah montana clock: my daughter loves this clock. She's 7 and wanted to start waking up by herself. It works!,Positif
"if you like....: If you like her others, you will love this one, it reads fast, you wont be able to put it down",Positif
why???: Why did they ever stop making these? The tabs are effective and even taste good. I miss them very much.,Positif
A true Classic: I have watched these to many times to count. It was so Good that I bought it. Best of the Best.,Positif
"Great Book: This is only the second book by Tom Clancy that I have ever read, and it was excellent. I loved it.",Positif
Great necklace: I love the color of the stone and how it hangs on my neck. It's a great necklace for the price.,Positif
"downrod for fan: did not need it, so I did not use it. sorry sorry sorry sorty sorry sorrry sorry sorry sorry s",Positif
Great price!: I got this as a gift for my mom.. I'm sure she'll love it and this was an awesome price thank you,Positif
Good Hose!: I bought this to replace a leaky vinyl line i had. So far so good. And who doesn't love Stainless??,Positif
good read: This book was worth reading once. It's not the type of book I would read over and over again though.,Positif
80s Hard Rock: One of the 80s rock bands that capture my ears!!! It's pity that they are almost retiring soon...,Positif
Batman Begins: It was a gift for my nephew for Christmas. It came in great shape and even included a comic book!,Positif
Another rocking Weeds Season.: Yet another awesome season of Weeds. A must have it you have the other 3 seasons.,Positif
Love it!: The download was quick. This story looks great on my kindle. I am so glad to have purchased this item!,Positif
"great product: it's the best lube i've used so far, just a bit expensive and that's the only thing wrong with it",Positif
great camera: a great camera to take with you every day takes great pictures and takes up no room in your pocket,Positif
alice in wonderland: this classic story is totally worth the read. if you love fantasy this is the book to read!,Positif
"Circus of the Damned: If you loved Ann Rice you will love laurell Hamilton. Read thenm in order, this one is #3.",Positif
"Great Western: Cast is great - good to see an early Heston in a Western role. A little long, but very enjoyable.",Positif
best yet: i am a big cis fan and have found the 7th season to be the best yet..great directors and story lines..,Positif
EXCELLENT: I highly recommend this seller! Item just as described and fast shipping!! A++++++++++++++ Mahaloz!!!,Positif
The Cambridge Companion to Chaucer: Great book that I am using now. It is very beneficial to literature classes.,Positif
Happy: This product is very good and I am happy with my purchase. The delivery was like WOW. It was really fast.,Positif
Twentieth Century Pleasures: Prose on Poetry: Thank you for a textbook that was clean and in excellent condition!,Positif
A Collector's Review: An Awesome book because it is full of many heroes and many villians in the marvel universe.,Positif
"Nice Book: Clean, neat, white,one, made of paper,the cover is shiny,with words,Is anyone getting my pointgood bye",Positif
stealth movie: a movie that sneaks up on you. not a big budget. but an excellent film.and i like excellent films.,Positif
classic: read this book and it was the same as the movie or the series that I saw a good read from cover to cover,Positif
not perfect: The lastest chapter is not good. The style is Different with above. Look like other author write it.,Positif
what a voice: It's old fashioned and has the fun sweetness of something we no longer have as much......innocence.,Positif
City of God: I received my order on time and in perfect condition. I would definately buy from this seller again.,Positif
Halloween Shoes: Perfect for many costumes and not all that uncomfortable. Very happy with the product and price!,Positif
A must have.: Although dated sets detract somewhat the overall effect is splendid. A must have in any collection.,Positif
"lonely men: This was bought for my father for when he is in the hspital, Audio books are always good. ThanksLaura",Positif
great product: Works just like it said it would. other reviews helped me choose this over a different one. Thanks,Positif
Wicker Laundry Organizer: suits my needs perfectly. fits between washer and dryer and holds all the items I need.,Positif
"Brilliant!: Hands down the best, most interesting history book I've ever read. It's for kids, but still, AMAZING.",Positif
fine: The product didn't work exactly like I thought. The first night I took less than was suggested and was SICK,Positif
Wonderfull!: I love putting this cd on as background music and it adds a wee touch of nobility to the humble home,Positif
Good Book: I like that in this book there is always something big happening which makes you want to read it more.,Positif
hatchet: i really like this book. i thought it was very interesting. i like the part where he got lost in canada.,Positif
"Great!!: This toys is great. Just one thing , if you have more than one kid.. Get two sets of this awesome blocks",Positif
great dvd player: this model and the one listed for multi region are the same you just have to change the region.,Positif
eye opening: This book should be on every adults list of books to read. This book has put my life in perspective.,Positif
Precious!: This is in line with all the wonderful Manhattan Toy products. A precious little doll for a tiny baby.,Positif
"I wish i could give it 100 stars.. because i'm cool: what a hot film. so intelligent, so provocative. buy it. now.",Positif
Life vest: This is a good quality life vest. I am pleased with the fit and feel. I wear it faithfully on our boat!,Positif
The Animal (Uncut Special Edition): rob's funny and it can sometimes not be funny but over all it's a great laugh.,Positif
Peony: Bought this book to read for book club. It is very interesting and believable. The club enjoyed it as well.,Positif
"Fascinating, quick read: It took me a few hours to finish. Who knew a great book could be written in so few pages?",Positif
"It Works!: Hey, what more can I say. This trickle charger performs just as advertised, which is all I ever wanted.",Positif
"Its Tight: Have been watching all the promos on fox for the upcoming season 2 and it just looks awsome, cant wait.",Positif
"Great reference: I work with food ingredients every day and this book is a standard, easy to use, quick reference.",Positif
tryst review: This is a very good book and i really enjoyed it. I was very happy to find it in hardback. thank you,Positif
THE PUNKFEST IS ON AGAIN: Imagine the first Iron Maiden album only with Dickinsons vocals in it...get the picture?,Positif
Fear and Loathing in Las Vegas: Hilarious early Jonny Depp movie. Depicts the drug culture in a very humorous way!,Positif
For dog lovers and children: I really enjoyed this book. I read to my children and they really liked it.Lisa Cohoe,Positif
Hilarious and poignant!: This book is hilarious and poignant. Lorne is surely set to become the next P.J. ORourke!,Positif
"Wonderful: ILove it. it's great, One of the best movies out there. Glad I four it on Amazon for such a great price",Positif
Fantastic Book!!!: This book is a must read. My wife and I found this book extemely helpful. It was an eye opener!,Positif
"cutie pie: he is talented, a little michael jackson in the works. his cd is good, groovy. can bob your head to it.",Positif
Works perfectly and a great price.: Short and sweet. Had it working flawlessly for 2 weeks now. No problems at all.,Positif
fantastic pix of TEXAS: Beautiful pictures... excellent photographs If you want ton see Texas this book is it......,Positif
"funny girl: This is a very good movie. It is so easy to be able to order old movies and enjoy them again and again,",Positif
Robin hood: Co worker need this movie I just ordered it for her. She has not offered any complaints of the product.,Positif
The hobbit: I am not much of a reader but I must say I really liked it had little dragged out spots very adventures,Positif
"great toy: my son loved it when he was little, and now my other son is playing with he and he seems to love it too!",Positif
"good book: Good information in the book, but the more I read online the more I question if flipping is right for me",Positif
Human Resource Management: The book was in great condition and the delivery was timely. I am completely satisified.,Positif
"into medialis they do go, yes: there were corollary tendency. without sshining light the new generation do you? uh?",Positif
Excellent: This was the best and perhaps the most slow books of the series but I absolutely loved it? Who IS Taran?,Positif
Gluten free mix: Kids and I love this. Texture is great. We use it to make scones and kids ask for it all the time.,Positif
Very good: It's the first time I got a good manual opener.My wife love it. I would like to recommend it to everyone,Positif
"Life Support: A great ""page turner"" that kept me up all night to see the end. I enjoy all of Tess Gerritsen's work!",Positif
Great buy!: These capsules are great. I really like them. They are easy to separate and very smooth. Great product!,Positif
santa shop: good book to read if you want an uplifting story at bad time in your life or just to make you feel good,Positif
The boy and the dog: The book was about a boy who gets a new dog.The genre of my book is farytail.[ Maribel Garcia],Positif
Great Movie: This is a great movies. One of the funniest I have ever seen. It will take you back to your childhood.,Positif
Good starter set: This is an excellent basic starter kit for N scale model railroading. It is good value for money.,Positif
"Child's movie: this was a purchase for my toddler, who seems very happy with this movie, and watches it repeatedly.",Positif
"Tracey Thorn: This is Tracy Thorns best production yet, with several outstanding tracks. I hope she keeps it going!",Positif
Obligatory: My kindle is making me do this...One two three four five six seven eight nine ten eleven twelve thirteen,Positif
Mitford Years ammended: Very fast response to my request. Excellent condition of the book. Would heartily recommend.,Positif
"leonides: it's not the kind of music u can listen to every day , but his playing is awesome , something to marvel !!",Positif
Best Kids Move Ever: I've never seen any child who didn't want to watch this move at least twice if not three times.,Positif
keeps fresh water for all 3of my dogs: I have 2 of these and love them .. except when the puppy plays in the bowl! .,Positif
excellent Blue Ray movie: This 5 disk set for $27 is a good deal. 3 blue ray disks and two DVD disks are in the box.,Positif
good: muy buen producto. rapido facil y a tiempo la entrega. sin contratiempos en todo el proceso. lo recomiendo a a,Positif
Epson Photomate Photo Printer: Prints very clear quality pictures and does not have to be hooked up to the computer.,Positif
This was really....: This was a really really really good book. It is sad and funny. It is one of my favorite books.,Positif
"Must See: It is the duty of every American, who loves their country and fears where it is heading, to see this film.",Positif
Final Witness: I was not disappointed. James Scott Bell has written another intriguing book. I couldn't put it down.,Positif
Gooby: cute movie for kids - heart warming - no violence or bad language - good DVD to add to the family collections,Positif
Daisies: The daisies help with the problems we ladies face when we are chilly. I gave them to my two daughters also!,Positif
Awesomness: I wanted a long cable to connect my computer to my tv from about 12 feet away and this worked perfectly.,Positif
Close...: This is a close fictionalized movie of the beginning of WWII. It is interesting and a great flick to share.,Positif
goo product: good product and works good on my hunting vehicle never comes off even in wooded areas when hit by limbs,Positif
All time favorite: This is a classic that can be read over and over. Good for reading aloud to the kids on trips too.,Positif
Good: It was a bit more pinkish-red than I had thought (the lava and the liquid) but it's still pretty and enjoyable.,Positif
"Canada Green Grass Seed: So far, so good! It's taking longer than I thought it would, but we still have a ways to go.",Positif
"That's just how it is: I had a lot of fun seeing myself in many cartoons, I was laughing and crying at the same time.",Positif
good movie: I havent seen this one yet but my wife says its a good one so I bought it on her behalf. thank you amazon,Positif
"OXO Good Grips 28381 Corn Holders: A very good product, much better than the usuall ones that break after a few uses.",Positif
Award winning book: An award winning book is a great thing to read. Have been meening to read this for quite a while.,Positif
"Great diapers, easy on the environment: I was afraid they would look too brown but they are just fine and work great!",Positif
"A classic.: The film was so much more enjoyable than ""Brokeback Mountain"". I really, really enjoyed it. Nuff said....",Positif
Thank you: I love this series. I was very disappointed when it did not continue after the third season. This is great,Positif
"Beautiful: Good book, beautiful, easy to read, references/resources listed in the back. A good buy, I'm very pleased.",Positif
Not since Quake 2...: Not since Quake 2 has a science fiction shooter sucked me in. Halo 2 is the best in the series.,Positif
Very Good Quality: This is the first Kindle purchase and it was very exciting when we were able to down load and use.,Positif
DataShark 70003 Universal Cable Stripper/Cutter: Works just fine for cutting/stripping ethernet. Only go around once.,Positif
"My mind was runnin away: This album is in a league with Jimi Hendrix, Jim Morrison, Pink Floyd ect. Its a total trip.",Positif
I love it: Great fit! Need to order more. There's nothing more to say about this. I think I have 3 more words here :),Positif
i love this book: this is an amazing book with great action and is a pageturner with a great plot and lots of supense.,Positif
"So far - très bon: AS described, but I think you need to know some French before you can use this product effectively.",Positif
Love it!!: I Love this Toque! I work in a milk refrigerator and wear it in there all the time. Supper thick and comfy.,Positif
good: this is a really great movie it might even be the best in the series even if the first one in like this classic.,Positif
Read the manufacturers recom age!!!: According to the manufacturer this toy is for 6 YEARS and up! Fun for OLDER kids!,Positif
"Great: I love this song but I would really like to get ahold of the words, can someone send me the words to the songs?",Positif
"Great Classic: This book is a great classic of Sci-Fi, couldn't put it down read it in two days and was very engaging.",Positif
I'm in LOVE: A great mix of styles and great vocals.I recently discovered this CD and was not dissapointed.A must get!,Positif
"useful: Since I am partially disabled, this makes it easy to add some fruit to my diet. I don't only use it on apples.",Positif
"Beyond The Shackles: Gripping, passionate, moving - a story of courage and hope when life presented none of the above.",Positif
"awesome!!: I had this before, but lost it.. so happy i was able to find this on amazon.. ralphie may is so damn funny!",Positif
The Edge: This book was great. Love Catherine Coulter. I couldn't put the book down. It kept me on the edge of my set.,Positif
love cd is awesome: The work done by father and son Martin team is amazing. This really makes the music alive and new.,Positif
Nice Nice and Nicer: yo dis game is tough no b-ball game can beat this who kares about wat others think buy this Peace,Positif
"12 Monkeys Brad: This movie is really great, we love it. Its so funny you have to see it. I show it all of my friends.",Positif
Goes well with Disney's products: My son can charge it and listen to or watch his videos at the same time. Great idea.,Positif
Terminator 2...the best of the three: Exciting and suspenseful. Great special effects. The best of the trilogy so far.,Positif
the book is necessary for exegesis and research: It's very useful for the process of the exegesis and study of the OT.,Positif
PTSD: havnt read the complete book but so far its been very helpful.it has answered many question that i had.THANK YOU,Positif
"Perfect: My dog loves this food. And I love the veggies added, plus vitamins etc. Great grain free food for the price.",Positif
Well done!: A great debut by a new author --- charming and delightful. I look forward to future books by Gayle Callen.,Positif
"I love it!: Very beautifull!! Two collors, because when we put white light on this flashlight, it be blue!!I love it!!",Positif
Specialized area of interest - excellent book: Got it as a gift for one who loves this writer. He enjoyed it very much.,Positif
receive faster than i expected: The product is nice and I got it faster than I expected. Very nice purchase experience!,Positif
"IPOD NANO: I bought this iPod Nano for my 14 year old and he loves it, it's so small and sounds so clear, unbelievable.",Positif
"Excellent clips / very sturdy: These clips are excellent - brightly colored, high quality, and they grip onto anything.",Positif
"Total Immersion DVD: The visuals are very helpful. Along with the book, they make understanding this swim style a snap.",Positif
"Children love all of these movies!: This whole set of movies are great. The grand kids love them, but we love them too!",Positif
.Great product: This item is terrific. It fit right into the box I had from my old shredder and I'm very happy with it.,Positif
"Always enjoyable: AS before, Barbara Cleverley's mystery series holds ones interest and keeps you wanting the next one!",Positif
Nice semple: really my son like it i had 9 books and its very good for his age he is 4Y old.its good quality and cheap.,Positif
"2 deck rotating card tray: Product is excellent, exactly as pictured. Just what I needed. It's sturdy and turns easily.",Positif
Miss Read: great story So sad miss claire died but knew it was going to happen sometime looking forward to other books!,Positif
Great Book: This is a great book by Golf's greatest player. I would recommend it to anyone who enjoys the game of golf.,Positif
El Año del Diluvio: Pretty okay book. Don't feel like writing much more than that as I have to go write an essay on it.,Positif
"Sounds good loud: Excellent album that really makes you want to bang your head. If you like hard rock, this is for you.",Positif
"Thats It!: Exactly what I wanted! Product delivered as shown. Pretty light weight, but hey, I paid about 4 bucks for it",Positif
Duty use: This holder is great to have on your belt! You never know when you might have to have your maglite with ya!!!,Positif
Sweet story: Great story of a teenager who spends a week in a mental health ward makes new friends and changes his life.,Positif
Penguin: The real pictures in this book are great! It describes the life cycle of a penguin in easy-to-understand words.,Positif
Great...: This show is my fav Anime series... its even my first..it has a killer story and very like-able charactors....,Positif
"Great country/rock: Excellent product with great vocals. We do a fast line dance to ""Dance"". Great CD with lots to like!",Positif
amazing!: christina aguilera is truly a versatile teen star. She can sing and dance very well. this dvd is a sure proof!,Positif
The Notebook: I loved the book. It was a little different from the movie which I'd already seen but still a great book!!,Positif
"Great Entertainment: Enjoyed this so long ago, I decided to purchase it on DVD so my grand children can also enjoy it...",Positif
corn cutter: Have only used it once and it wasn't my favorite tool. I have to use it more to get the hang of it I guess.,Positif
Great Tea: This is a great tea and you can even sprinkle in a little hot chocoate & cool whip and it is even better yet!,Positif
Great Service: Product was in excellent condition just like the seller said and I received the item in a timely fashion.,Positif
"A great Classic: This is one My Man picked, haven't seen it, but he seems happy with it. He just loves those old movies!",Positif
A great book for any martial arts person: The collection of stories are so inspiring to keep with martial arts training.,Positif
"Po' Boy? - I think not!: Perhaps more brilliant than ""Self Portrait"". Quite arresting in fact. Enjoy my dear ""Dylanies"".",Positif
"Translator: Product was just as describe, Good fast service, I would buy another if need so. Nice product for the price.",Positif
Great Product: Great product. I have used Nivea cartridges for my Norelco shaver for 10 years. Couldn't live without it.,Positif
NAZTECH CABRIO CASE: NICE CASE. GOOD QUALITY. PHONE FIT A BIT SNUG TO START BUT LOOSENING UPAND FITTING BETTER WITH TIME.,Positif
fantastic!: I love the Cherry Poppin' Daddies...they're the best! Their songs are wonderful and they're sung beautifully.,Positif
"Classic Lauren: Lyrics are very relavent to these days and times that we live in. Music is awesome, vocals are still hot!",Positif
"great!!: I have never seen this movie, and a friend kept talking about it.....what a great story! And the cast is superb!",Positif
Great movie about the disaster at Pearl Harbor: I have this movie on VHS and wanted a copy on DVD. This is a great movie.,Positif
"Nice: Well made jacket. Rugged, fits well, insulated without weight. My husband was very pleased with it. This was a hit.",Positif
"Great Story: Sinsiter Enough to make Stephen King cringe ! Dan Simmons is top notch story teller , to say the least .....",Positif
"Swim made....easy!!!: I wondered why I would get so tired swimming, and I found out real quick when I watched this video.",Positif
"Motorstorm review: Great game awesome graphics, the only caveat is there's no two player otherwise great game to pick up.",Positif
Supernatural: I was so happy when I got my order. The package was fully intact. There was no damage at all! Very pleased!,Positif
Great: My son loved it!! It was in perfect condition!! We got it because his sister was reading it and he was interested!,Positif
great: everything went well with transaction and delivery. The book was for a project and it was a great way to purchase.,Positif
"just excellent: tingling all over, thats just how i feel after listening to 'the hush'. excellent music, pure and simple.",Positif
"What Social Classes Owe Each Other: ""Not a damn thing."" As George Stigler summarized this classic case for laissez faire.",Positif
"Cute lights!!!: My husband and in-laws love to fish, this is a great gift for the fisherman or woman that has everything.",Positif
good phone: This phone works very well. I have simple needs in a phone and this suits those needs. It's sleak and modern.,Positif
"Good Read: Well Done! Good story, well put together, follows nicely. I hope that she will stay with the story lines more.",Positif
Creepy: The creepiest book I've ever read! It's a creepy mystery/romance all in one creepy book! I would read it again lol,Positif
"Possibly the funniest movie ever made.: It starts off a bit slow, but once the product placement jokes start it takes off.",Positif
Video too!: I was very impressed with it. It take stills and movie clips great and it so small. Great pocket p.c. add on .,Positif
Very Good: Very entertaining. Good quality Blu-Ray for the theatrical version. HAve not yet explored the special features.,Positif
"Nice: For what it is (an inexpensive tp holder), it performs great. Have had other brands, and it is built as good as any.",Positif
Very pleased: The process was very quick and easy. My book arrived quicker than I expected and was in excellent condition.,Positif
Bailamos: Me gusta mucho: Great music! Does anyone have any idea how I can obtain the lyrics to all the songs on Bailamos?,Positif
"great: Denzel Washington, John Lithgow and Ice T are great in this movie. I thoroughly enjoyed the movie and recommend it.",Positif
MUST HAVE!: Awsome movie! Colorful! Entertaining! Funny and Sad! You will never get tired watching it over and over again!,Positif
"EXCELLENT: THIS HAS BEEN GREAT. IT PLAYS WELL AND IS EASY TO OPERATE. I COULD NOT FIND ONE IN TOWN, SO THIS REALLY HELPED.",Positif
Great Collection: I thought this cd was a great collection of movie themes played on the grand piano. It sounds wonderful!,Positif
Oxo Salad Spinner: Oxo Good Grips Salad SpinnerI don't know why I waited so long to order this. It's absolutely wonderful.,Positif
